average,cpu,thrust,work-efficient-hierarchical
sample-39,cpu,thrust,work-efficient-hierarchical
4096,0.1604,0.055296,0.8456
16384,0.7597,0.090112,0.862208
65536,3.2547,0.086016,1.08826
262144,14.6648,0.28672,2.25075
1048576,56.5741,0.450528,9.97469
4194304,215.526,0.90096,36.1159
16777216,887.544,3.34246,140.98

sample-40,cpu,thrust,work-efficient-hierarchical
4096,0.1472,0.053248,0.814976
16384,0.709,0.087872,0.884384
65536,3.4085,0.088896,1.09539
262144,14.7294,0.214048,2.32442
1048576,55.5161,0.405472,10.1683
4194304,233.879,1.0024,35.9871
16777216,852.091,3.59808,140.824

sample-41,cpu,thrust,work-efficient-hierarchical
4096,0.1415,0.0552,0.825344
16384,0.6659,0.087392,0.865472
65536,3.3054,0.090112,1.09901
262144,14.3655,0.305632,2.29581
1048576,54.3022,0.521088,10.0598
4194304,213.373,0.96336,36.2004
16777216,895.775,3.66838,140.882

sample-42,cpu,thrust,work-efficient-hierarchical
4096,0.1788,0.056576,0.82096
16384,0.67,0.112736,0.908704
65536,3.4373,0.09216,1.09363
262144,14.467,0.254176,2.26304
1048576,58.0315,0.475136,9.94099
4194304,232.58,0.831488,36.0502
16777216,845.045,3.46931,140.763

sample-43,cpu,thrust,work-efficient-hierarchical
4096,0.141,0.053984,0.813344
16384,0.6666,0.085184,0.866304
65536,3.1505,0.087616,1.0992
262144,14.1343,0.206848,2.25485
1048576,56.2404,0.58368,10.0677
4194304,222.736,0.992736,36.0584
16777216,872.945,3.38941,140.882

sample-44,cpu,thrust,work-efficient-hierarchical
4096,0.1541,0.055296,0.816128
16384,0.712,0.088768,0.8704
65536,3.3028,0.089024,1.09286
262144,15.784,0.24992,2.42893
1048576,58.3487,0.485376,9.96762
4194304,224.092,0.831936,36.0034
16777216,846.53,3.49798,140.81

sample-45,cpu,thrust,work-efficient-hierarchical
4096,0.2533,0.055296,0.85408
16384,0.6616,0.086048,0.907136
65536,3.1631,0.08944,1.09158
262144,14.5864,0.199744,2.28019
1048576,52.191,0.56672,9.98122
4194304,214.967,1.01565,36.0038
16777216,873.348,3.32867,140.831

sample-46,cpu,thrust,work-efficient-hierarchical
4096,0.1682,0.055296,0.868256
16384,0.7524,0.090112,0.90128
65536,3.5648,0.089824,1.10214
262144,15.1703,0.263488,2.28211
1048576,58.6329,0.473376,9.93382
4194304,230.251,0.945248,36.0716
16777216,835.283,3.82451,140.88

sample-47,cpu,thrust,work-efficient-hierarchical
4096,0.1418,0.051456,0.813056
16384,0.6993,0.086144,0.86128
65536,3.1821,0.08576,1.09158
262144,13.5807,0.36864,2.25894
1048576,53.6106,0.40576,9.99594
4194304,213.249,1.01376,36.0968
16777216,896.118,3.25866,140.795

sample-48,cpu,thrust,work-efficient-hierarchical
4096,0.201,0.090496,0.808544
16384,0.7141,0.090048,0.849504
65536,3.3121,0.08912,1.09158
262144,14.9838,0.235872,2.30304
1048576,59.8473,0.389984,9.94317
4194304,226.976,0.83776,36.0228
16777216,833.536,3.39718,140.769

sample-49,cpu,thrust,work-efficient-hierarchical
4096,0.1442,0.055296,0.81216
16384,0.683,0.090112,0.86128
65536,3.2593,0.086368,1.08019
262144,13.9633,0.383104,2.25229
1048576,53.232,0.528384,10.0822
4194304,210.044,0.85728,36.0571
16777216,869.379,3.20717,140.964

sample-50,cpu,thrust,work-efficient-hierarchical
4096,0.1442,0.055296,0.82496
16384,0.6841,0.087872,0.868352
65536,3.4211,0.090144,1.10822
262144,14.3544,0.250016,2.26918
1048576,56.4499,0.346112,9.95978
4194304,226.961,0.852256,36.0011
16777216,860.424,3.29728,140.65

sample-51,cpu,thrust,work-efficient-hierarchical
4096,0.1439,0.053664,0.815104
16384,0.6794,0.088576,0.858112
65536,3.152,0.085728,1.11133
262144,13.7361,0.270336,2.25782
1048576,53.729,0.528096,10.1074
4194304,208.216,1.12858,36.2964
16777216,865.206,3.58147,142.101

sample-52,cpu,thrust,work-efficient-hierarchical
4096,0.1416,0.054752,0.813056
16384,0.665,0.16896,0.987136
65536,3.4524,0.0888,1.09565
262144,17.101,0.228896,2.26509
1048576,56.3732,0.335872,9.94515
4194304,231.5,0.935616,36.053
16777216,898.509,3.3321,140.668

sample-53,cpu,thrust,work-efficient-hierarchical
4096,0.1453,0.053248,0.821024
16384,0.6829,0.090016,0.857952
65536,3.1513,0.088064,1.09773
262144,13.8656,0.323584,2.26304
1048576,52.6156,0.512416,10.07
4194304,212.047,0.908928,36.1329
16777216,875.687,3.25702,140.838

sample-54,cpu,thrust,work-efficient-hierarchical
4096,0.1443,0.05456,0.825344
16384,0.6807,0.087136,0.86016
65536,3.1949,0.087328,1.10413
262144,13.5573,0.355072,2.26096
1048576,52.4271,0.421888,9.94995
4194304,221.786,0.884736,36.0358
16777216,887.245,3.26461,140.715

sample-55,cpu,thrust,work-efficient-hierarchical
4096,0.1594,0.056224,0.82288
16384,0.7787,0.08864,0.858272
65536,3.5825,0.088064,1.08541
262144,15.3898,0.354304,2.27738
1048576,54.1714,0.571616,10.0087
4194304,213.066,0.940224,36.0999
16777216,866.899,3.40349,140.796

sample-56,cpu,thrust,work-efficient-hierarchical
4096,0.1552,0.053984,0.822272
16384,0.6982,0.089248,0.874272
65536,3.1456,0.108832,1.09738
262144,16.9384,0.343456,2.25414
1048576,52.8354,0.547072,10.0467
4194304,218.951,0.903168,36.1116
16777216,916.147,3.30851,140.988

sample-57,cpu,thrust,work-efficient-hierarchical
4096,0.154,0.0552,0.825024
16384,0.7348,0.091648,0.90112
65536,3.6805,0.087424,1.10042
262144,16.0276,0.31232,2.30768
1048576,58.0176,0.517728,9.96397
4194304,212.523,1.00957,36.0561
16777216,872.089,3.39542,140.864

sample-58,cpu,thrust,work-efficient-hierarchical
4096,0.145,0.052,0.811712
16384,0.6813,0.089728,0.859104
65536,3.1824,0.096256,1.19027
262144,14.4845,0.34528,2.292
1048576,55.8264,0.473088,9.9769
4194304,239.822,0.851552,35.9944
16777216,889.398,3.35629,140.664

sample-59,cpu,thrust,work-efficient-hierarchical
4096,0.159,0.055296,0.810176
